Sentimen,Text,full_text
negatif,jadi semakin banyak mahasiswa ikut kampus merdeka akreditasinya makin bagus atau nurun soalnya kampusku yang smt 7 mau ikutan lagi malah dilarang karna mau fokus memperbaiki akreditasi,mahasiswa kampus merdeka akreditasi bagus nurun kampus smt ikut larang fokus baik akreditasi
negatif,ditiktok lewat mulu magang merdeka tapi kampus aku bukan termasuk kampus merdeka sebel banget,ditiktok melulu magang merdeka kampus kampus merdeka sebel banget
negatif,kenapa yaa uin gak masuk kampus merdeka ,yaa uin masuk kampus merdeka
negatif,uin kita tu engga bisa ikutan magang yang di kampus merdeka ya ,uin ikut magang kampus merdeka iya
negatif,ada yang tau rekomendasi perusahaan yang open nagang di surabaya kok cek di web kampus merdeka cuma ada lokasi jakarta ya hmmm,rekomendasi usaha open nagang surabaya cek web kampus merdeka lokasi jakarta iya hmm
negatif,lelah dengan mbkm yang engga merdeka merdeka banget di kampus saya,lelah mbkm merdeka merdeka banget kampus
negatif,kampus merdeka tapi pemilihan rektor ga merdeka penak turu wae ngasi 7 tahun ,kampus merdeka pilih rektor merdeka penak turu wae ngasi
negatif,ungkapan rasa kekecewaan dengan program msib kampus merdeka kampusmerdekari dimana kami mahasiswa non mobilisasi belum mendapatkan biaya bantuan hidup bbh sama sekali dari awal mulai program sampai dengan program magang mau selesaimana janji manismu panitia kampusmerdekari,ungkap kecewa program msib kampus merdeka kampusmerdekari mana mahasiswa non mobilisasi biaya bantu hidup bbh program program magang selesaimana janji manis panitia kampusmerdekari
negatif,cuma verifikasi rekening di kampus merdeka kok lama banget ya dari tanggal 9 april sampe sekarang engga ada notifikasi kalo kayak gini gimanaaa,verifikasi rekening kampus merdeka banget iya tanggal april notifikasi kayak gimanaa
negatif,omong kosong dengan slogan kampus merdeka semua masih terbelenggu oleh kekuasaan,omong kosong slogan kampus merdeka belenggu kuasa
negatif,slogannya  kampus merdeka  tapi kok seperti terjajah sama penguasa ,slogan kampus merdeka jajah kuasa
negatif,tapi tetep aja engga bisa beli gaji blm turun kampus merdeka gembel tidak memerdekakan mahasiswanya,tetep beli gaji turun kampus merdeka gembel merdeka mahasiswa
negatif,gila sih katanya bantuan biaya hidup bulanan tapi kok cairnya udah sampai selesai magang ,gila sih bantu biaya hidup bulan cair selesai magang
negatif,kampus merdeka tega banget masa udah mau kelar engga cair bbh nya pusing,kampus merdeka tega banget kelar cair bbh nya pusing
negatif,bbh msib kapan cair sih ini udah bulan ke4 dan bbh termin 1 belom turun sama sekali dimohon untuk memberikan kepastian berikan hak kami sebagai peserta kampus merdeka batch 4,bbh msib cair sih bbh termin turun mohon pasti hak serta kampus merdeka batch
negatif,akan selamanya sensi sm pemerintah soal kampus merdeka uu plp dan juga covid,sensi perintah kampus merdeka undang plp covid
negatif,slogan nadiem kampus merdeka  bagaimana kampus bisa merdeka wong dosennya tidak merdeka secara akademik,slogan nadiem kampus merdeka kampus merdeka dosen merdeka akademik
negatif,mbkm taun ini ghoib banget dah,mbkm ghoib banget
negatif,lah dijadiin data palsu terus intensif dari mbkmnya masuk ke mana kan setiap ikut mbkm pasti dikasih uang perbulan 12jt sama ukt 24jt itu uangnya kemana kalo gitu,dijadiin data palsu intensif mbkmnya masuk kah mbkm kasih uang bulan ukt uang mana
negatif,aku semester 5 padahal ikut mbkm tapi disini engga ada ,semester mbkm
negatif,statusnya mbkm tapi sks nya 24 sedangkan di mbkm hanya diberi konversi 20 sks gimana tu,status mbkm sks nya mbkm konversi sks
negatif,aku kebalikannya semester 6 sampe 8 yang ikut kegiatan mbkm tapi yang ditulis malah dan cuma semester 9  ,balik semester giat mbkm tulis semester
negatif,baru tau bangt kalo ada data palsu kaya gini terus gua yang ikut mbkm beneran sebal,bangt data palsu kaya mbkm beneran sebal
negatif,segera lapor ke admin kampus nder jurusanku kemrin juga gitu dan langsung diminta admin buat list nama yang tiba terdaftar mbkm padahal ngga,lapor kah admin kampus nder jurus kemarin langsung admin list nama daftar mbkm
negatif,lah aku ikut mbkm kok engga ditulis begini  ,mbkm tulis
negatif,kolom program studi saat regist akun mbkm kenapa gabisa diklik yaa di aku cm ,kolom program studi regist akun mbkm tidak bisa klik yaa
negatif,apasi ini anak2 mbkm pada pamer uang dengan brimonya ,apas anak mbkm pamer uang brimonya
negatif,jurusan nyuruh mbkm tapi konversi sulit,jurus nyuruh mbkm konversi sulit
negatif,mbkm smt 7 kenapa mitra nya dikit banget asli,mbkm smt mitra nya dikit banget asli
negatif,bingung pengen ikut magang mbkm tpi posisi yang ada cuman di pulau jawa aja,bingung magang mbkm posisi cuma pulau jawa
negatif,lama banget anjirrrrr lu ikut yang mbkm,banget anjirr mbkm
negatif,aduh mbkm dah buka tapi perusahaan yang gue mau engga ada,aduh mbkm buka usaha
negatif,udah pernah bilang engga sih sistem mbkm tuh emang menyiksa,bilang sih sistem mbkm siksa
negatif,kata gw aneh ini mitra mbkm tapi yaudahlah dikerjain aja,aneh mitra mbkm yaudahlah dikerjain
negatif,lagi sibuk uas pas ikut program mbkm nenek meninggal orang tua hampir cerai ditinggalin pacar sampe sekarang masih ngerangkak buat jalan,sibuk uas pas program mbkm nenek tinggal orang tua cerai ditinggalin pacar ngerangkak jalan
negatif,ikutan mbkm udah niat buka rek baru eh 2 semester kedapetan yang unpaid semua hangus aja tu duit 200k cuman buat potongan biaya admin doang,ikut mbkm niat buka rek eh semester kedapetan unpaid hangus uang cuma potong biaya admin
negatif,mahasiswa magang yang lagi nangis mulu mikirin luaran mbkm nya sehingga butuh bersandar di dada jeon wonwoo,mahasiswa magang menang melulu mikirin luar mbkm nya butuh sandar dada jeon wonwoo
negatif,tapi bener lohhh aku aja mbkm kek halahh dah lahh ambil hikmah nya aja ,lohh mbkm halahh lahh ambil hikmah nya
negatif,habis ini giliranku semoga rejeki biar engga perlu ikut mbkm ,habis gilir moga rezeki biar mbkm
negatif,buset ni mbkm udah mau batch 5 aja padahal bbh batch 4 belom turun,buset mbkm batch bbh batch turun
negatif,stress tugas berentet  mikirin mbkm perut kayak dipelintir ,stress tugas rentet mikirin mbkm perut kayak pelintir
negatif,pengen kuliah kaya biasa aja deh daripada mbkm gini ribet bgt,kuliah kaya deh mbkm ribet banget
negatif,agak nyesel milih magang mbkm di semester 6 ini,nyesel milih magang mbkm semester
negatif,ya gimana mau daftar mbkm wong minimal aja semester 4 sedangkan watashi keteranganya aja nonaktif dari semester 3,iya daftar mbkm minimal semester watashi keteranganya nonaktif semester
negatif,problemnya di prodi cuy di pddikti prodi aku administrasi publik tapi di web mbkm adanya administrasi negara  ,problem prodi cuy pddikti prodi administrasi publik web mbkm administrasi negara
negatif,mending lulus cepet ini gua gara gara mbkm jadi mundur,lebih baik lulus cepat gara gara mbkm mundur
negatif,tadi mbkm di semper barat bener bener miris banget capek baget karna kurang persiapan,mbkm semper barat miris banget lelah baget siap
negatif,bayar mbkm bayar semuanya berbayar,bayar mbkm bayar bayar
negatif,capek banget baru balik kuliah tidur set jam lanjut kerja super duper rame dan hari minggu bakal berangkat lagi untuk mbkm  perut 3 harian ini sakit bgt gabisa nahan sampe nangis masih aja dibuat kesel,lelah banget kuliah tidur set jam kerja super duper ramai minggu berangkat mbkm perut hari sakit banget tidak bisa nahan menang kesel
negatif,yg agak sedikit malesin dari mbkm adalah laporan hariannya itu laporan isinya dah kek buku diary aja,malesin mbkm lapor hari lapor isi buku diary
negatif,anjir ini mbkm kayak sbm ke dua,anjing mbkm kayak sbm kah
negatif,penerima kipk boleh ikut program magang mbkm gasih tapi ini programnya ke jepang mau daftar takut nanti malah gaboleh ternyata,terima kipk program magang mbkm gasih program kah jepang daftar takut gaboleh
negatif,mbkm disatu sisi menyesatkan anjir dengan kaprodi,mbkm satu sisi sesat anjing kaprodi
negatif,kenapa dulu aku mau ikut mbkm ya,mbkm iya
negatif,pernah ga lo nangis di starbucks cuman karena ngerjain laporan mbkm,menang starbucks cuma ngerjain lapor mbkm
negatif,tidak secape ngurusin mbkm aneh,cape ngurusin mbkm aneh
negatif,masih dendam sama mbkm ,dendam mbkm
negatif,gak tauu gak jelas tiba tiba di suruh ikut mbkm pertukaran terus suruh magang mana angkatan covid yang sem 1 sampe 4 daring kelas cuma 1 biji belum pernah full belajar bareng bareng sampe mau semester 7 ini,tauu suruh mbkm tukar suruh magang angkat covid sem daring kelas biji full ajar bareng bareng semester
negatif,heran napa kampusku kurang mendukung mahasiswanya buat ikut mbkm padahal kan programnya pemerintah kalo tau seribet ini mending ga ikut dari awal,heran kampus dukung mahasiswa mbkm program perintah seribet lebih baik
negatif,belom dipusingin sama mbkm dan topik skripsi ,dipusingin mbkm topik skripsi
negatif,gabisa sempro karena diri ini mbkm,tidak bisa sempro mbkm
netral,guys mau nanya enakan daftar kampus merdeka semester 5 atau 6 yak,teman enak daftar kampus merdeka semester yak
netral,cm misi mau nanya buat yang udah daftar akun kampus merdeka dapet activation emailnya berapa lama yaa aku coba daftar belum dapet soalnya udah coba minta kirim lagi tapi tetep belum masuk makasi semuanya,misi daftar akun kampus merdeka activation email yaa coba daftar coba kirim tetep masuk makas
netral,di program kampus merdeka msib itu kita magang cari instansi sendiri atau hanya milih dk pilihan yg ada di website kampusmerdeka itu ya cm,program kampus merdeka msib magang cari instansi milih dk pilih website kampusmerdeka iya
netral,halo guys mau tanya dong yang pernah keterima kampus merdeka mau tanya dong buat surat rekomendasi dan sptjm ditulis kita semester sekarang apa semsster depan ya,halo teman terima kampus merdeka surat rekomendasi sptjm tulis semester semsster iya
netral,guys ada yang pernah lulus program msib kampus merdeka mau minta saran kalau anak pendidikan pgsd lebih baik ambil magang atau studi independen kirakira perusahaan yang open buat jurusan pendidikan apa dan posisinya sebagai apa ya makasii sebelumnya,teman lulus program msib kampus merdeka saran anak didik pgsd ambil magang studi independen kirakira usaha open jurus didik posisi iya makasii
netral,kalo daftar dua magang kampus merdeka sama kampus mengajar boleh kah dan kalo diterima dua duanya gimana ya,daftar magang kampus merdeka kampus ajar kah terima dua iya
netral,kalo mau daftar kampus merdeka kan ada cek kesehatan ya itu boleh gak sih di klinik gitu apa harus puskesmasrumah sakit,daftar kampus merdeka cek sehat iya sih klinik puskesmasrumah sakit
netral,gaes ada yang ikut program magang kampus merdeka batch 5 ga atau ada yang udah pernah ikut pengen sharing makasiii,gaes program magang kampus merdeka batch sharing makasii
netral,guys magang kampus merdeka tuh ada yg wfa kah atau semua wfo,teman magang kampus merdeka wfa kah wfo
netral,padahal maksimal ikut kampus merdeka itu 2x,maksimal kampus merdeka
netral,kak klo kampus merdeka itu programnya ngapain aja,kak kampus merdeka program sedang apa
netral,gada yang ikut kampus merdeka magang apaa ,gada kampus merdeka magang apaa
netral,daftar akun kampus merdeka tuh boleh pake email pribadi atau harus pake email dri kampus ya,daftar akun kampus merdeka pakai email pribadi pakai email kampus iya
netral,yang pernah ikut atau lagi ikut magang kampus merdeka boleh tau tahap seleksinya apa aja,magang kampus merdeka tahap seleksi
netral,di ut itu ada magang diluar ngajuin magang sendiri kaya kampus merdeka,magang luar ngajuin magang kaya kampus merdeka
netral,mau nanya yg daftar bangkit kampus merdeka itu kan 20 sks ya berarti klo lolos ntar yg smt 5 bakal jalanin 40 sks dong masih bisa idup ga sii  beneran nanya ges sender dari nonit soalnya tia ugmfess,daftar bangkit kampus merdeka sks iya lolos sebentar smt jalanin sks hidup sii beneran ges sender nonit tia ugmfess
netral,ada yang pernah ikut kampus merdeka mengajar dan bersedia buat aku dm tanya tanya seputar kegiatannya engga terima kasih,kampus merdeka ajar sedia dm putar giat terima kasih
netral,kalian ikut kampus merdeka ga tolong kasih saran dong enaknya ikut apa engga sama kasih tau dong plus minusnya ,kampus merdeka tolong kasih saran enak kasih plus minus
netral,guys klo ngga ada pengalaman organisasi masih bisa lulus magang kampus merdeka engga yaa ,teman alam organisasi lulus magang kampus merdeka yaa
netral,cara ganti tempat kelahiran di web kampus merdeka gimana ya ko gabisa diteken,ganti lahir web kampus merdeka iya ko tidak bisa teken
netral,yang punya pengalaman iku program msib kampus merdeka bagi infonya dong,alam iku program msib kampus merdeka info
netral,ada tulisannya msib di web kampus merdeka nya,tulis msib web kampus merdeka nya
netral,kalian yg ikut program kampus merdeka matkul metode penelitian bisa dikonversi ga,program kampus merdeka matkul metode teliti konversi
netral,magang mandiri or magang dari kampus merdeka,magang mandiri or magang kampus merdeka
netral,kalo buat program kampus merdeka bisa minta ke fakultas nder kalo fhisip bisa via email,program kampus merdeka kah fakultas nder fhisip via email
netral,kamu mau ikut mbkm atau magang mandiri yg wajib dari kampus nder kalau mau liat yg kerjasama kampus merdeka tinggal liat pas mbkm buka pendaftaran aja,mbkm magang mandiri wajib kampus nder lihat kerjasama kampus merdeka tinggal lihat pas mbkm buka daftar
netral,mau tanyaa kalau program pertukaran mahasiswa merdeka itu kampus yang di pulau jawa bisa pilih yg satu pulau atau harus selain jawa ya,tanyaa program tukar mahasiswa merdeka kampus pulau jawa pilih pulau jawa iya
netral,bisa pengalaman pkl di smk magang kampus magang merdeka atau apapun magang dan berapa lama pun waktu magangnya bisa dicantumkan di cv ya,alam pkl smk magang kampus magang merdeka apa magang magang cantum cv iya
netral,help akun email kampus aku ga bisa log in gitu mulu tiap mau tambah akun tolong gimana terus daftar kampus merdeka pake akun email kampus atau pribadi cm ,help akun email kampus log in melulu akun tolong daftar kampus merdeka pakai akun email kampus pribadi
netral,program kampus merdeka yg bisa diikutin mahasiswa semester 3 apa aja ya,program kampus merdeka diikutin mahasiswa semester iya
netral,daftar akun magang merdeka pake email kampus,daftar akun magang merdeka pakai email kampus
netral,program kampus merdeka yg bisa wfh apaan yak,program kampus merdeka wfh yak
netral,upi mau nanya tentang sptjm kampus merdeka untuk msib ada yang tau,upi sptjm kampus merdeka msib
netral,ada nanti pas ppb atau ikut kampus merdeka,pas ppb kampus merdeka
netral,mitra kampus merdeka ,mitra kampus merdeka
netral,ngerasain juga secara langsung waktu jadi pembimbing mahasiswa kampus merdeka magang di kantor ku kemarin  ,ngerasain langsung bimbing mahasiswa kampus merdeka magang kantor ku kemarin
netral,caranya gimana ikut magang kampus merdeka,magang kampus merdeka
netral,sptjm itu biasanya dekan nder ngurus sendiri aja nder kalo sptjm takutnya nanti salah format kaya semester kemarin diambil yg ada di kampus merdeka aja menyesuaikan,sptjm dekan nder urus nder sptjm takut salah format kaya semester kemarin ambil kampus merdeka sesuai
netral,id card ada deh keknya pas banget persiapan magang sama program kampus merdeka lainnya,id card deh kaya pas banget siap magang program kampus merdeka
netral,mau tanya temen-temen uny kalo sekarang mau ngajuin surat rekomendasi buat program kampus merdeka sekarang web nya apa ya   makasih ,temen-temen uny ngajuin surat rekomendasi program kampus merdeka web nya iya terima kasih
netral,ada yang ikut magang kampus merdeka batch 5 gak ,magang kampus merdeka batch
netral,ada yg pernah ditolak mengajar bersama kampus merdeka ngga kalo ada kira kora kenapa yaa,tolak ajar kampus merdeka kora yaa
netral,ada yang ikut magang kampus merdeka batch 5 gak kalau ada yuk mutualan ,magang kampus merdeka batch ayo mutualan
netral,akuu kampus merdeka banyak si program ak cuma ikut stupen pm sama kmmi doang,akuu kampus merdeka si program stupen private message kmmi
netral,pi group tapi harus lewat magenta atau kampus merdeka ya selain itu gabisa,group magenta kampus merdeka iya tidak bisa
netral,email bbh kampus merdeka juga masuk spam janganjangan ,email bbh kampus merdeka masuk spam janganjangan
netral,kak nanya dong magangnya kampus merdeka tuh udah dibuka apa belum ya ,kak magang kampus merdeka buka iya
netral,pengen ngerasain mbkm tp aku farmasi ,ngerasain mbkm farmasi
netral,siapapun tolong dong kasi tau tentang magang mbkm sama kampus mengajar klo magang kan lamar bisa lolos bisa ga klo kampus mengajar tuh udah pasti lolos atau bisa gugur yaa,tolong kasi magang mbkm kampus ajar magang lamar lolos kampus ajar lolos gugur yaa
netral,gue nentuin program mbkm semester 7 pilih program apa ya yang berkemungkinan bolehin gue izin konser ,nentuin program mbkm semester pilih program iya mungkin bolehin izin konser
netral,skripsi bisa nyambi mbkm kak,skripsi nyambi mbkm kak
netral,siapa yg seharusnya mbkm ,mbkm
netral,sekarang karena ada mbkm boleh milik antara magang atau kkn ,mbkm milik magang kkn
netral,halo kakk mjb aku boleh tanya2 soal mbkm xl ga yaa,halo kakk mjb mbkm xl yaa
netral,kkn masuk ke mbkm,kkn masuk kah mbkm
netral,mau bikin cv buat mbkm tp diisi apa ya cuy gue mahasiswa kupukupu ,bikin cv mbkm isi iya cuy mahasiswa kupukupu
netral,alias selesai mbkm,alias selesai mbkm
netral,ada yang pernah lagi ngulang matkul tapi mau ndaftar atau sudah pernah daftar program mbkm terutama msib aku lagi bingung mau tanya2,ngulang matkul ndaftar daftar program mbkm msib bingung
netral,ikut mbkm kan dapat dana bantuan dari pemerintah itu uangnya gimana,mbkm dana bantu perintah uang
netral,semester 2 bisa ikut program mbkm yg mana ,semester program mbkm
netral,berarti wajib ikut mbkm,wajib mbkm
netral,jadi intinya ada kebijakan yang mewajibkan mahasiswa untuk ikut mbkm minimal 1 kali,inti bijak wajib mahasiswa mbkm minimal kali
netral,kalau ada yang sudah pernah ikut magang mbkm di kampusnya kalo ada boleh tanya tanya engga,magang mbkm kampus
netral,di kampus kalian mbkm maksimal berapa semester berapa semester ya bukan semester berapa ,kampus mbkm maksimal semester semester iya semester
netral,kalian yang semester 4 udah ada info soal mbkm magang semester depan engga itu gimana sih cara daftarnya liat infonya darimana,semester informasi mbkm magang semester sih daftar lihat info darimana
netral,ada yang mau daftar mbkm terutama masih dan udah bikin akun engga aku mau bikin akun tapi masih engga yakin soalnya dosen pa sama jurusanku diem diem aja makasih,daftar mbkm bikin akun bikin akun dosen jurus diem diem terima kasih
netral,aku mau ikutt magang program mbkm semester depan terus ada kolom portofolio kalo anak akutansi gitu portofolionya isinya apa ya makasih,ikutt magang program mbkm semester kolom portofolio anak akutansi portofolio isi iya terima kasih
netral,ada anak pendidikan matematika 20 yang sekarang ikut mbkm rencana engga ikut semester antara ,anak didik matematika mbkm rencana semester
netral,kak ada yg pernah ikut program mbkm riset dari elsa brin  cerita dong gimana testimoni nya makasih,kak program mbkm riset elsa brin cerita testimoni nya terima kasih
netral,masing fakultas beda kebijakan tapi dia ada sih yg mbkm lalu,fakultas beda bijak sih mbkm
netral,iyaa nder aku abis mbkm kemaren sidang,iyaa nder habis mbkm kemarin sidang
netral,misi izin tanya ada kakak yg sebelumnya pernah ikut magang mbkm dan tipe yang konversi sks gitu ga ya mau tanya sedikit kalo berkenan makasii,misi izin kakak magang mbkm tipe konversi sks iya kenan makasii
netral,yg pernah ngurus transkrip nilai buat mbkm sejenisnya tolong kasih tau alurnya dong  makasih yg udah jawab ,urus transkrip nilai mbkm jenis tolong kasih alur terima kasih
netral,mari kita zoom mbkm dulu,mari zoom mbkm
netral,cv nya ats terus kalo ada pengalaman organisasi daftar si atau mbkm nya yang relevan sm pengalaman yang didapet dan kalo bisa sesuai jg sm jurusannya,cv nya alam organisasi daftar si mbkm nya relevan alam didapet sesuai jurus
netral,kalo udah daftar salah satu program mbkm tp blm pengumuman boleh daftar program yang lain juga gasi mbkm,daftar salah program mbkm umum daftar program gas mbkm
netral,format template nya udh dari mbkm nya kak,format template nya mbkm nya kak
netral,ambil mbkm minimal semester berapa ya,ambil mbkm minimal semester iya
netral,mbkm itu program kementerian yang didalamnya ada masih kkn wirausaha dll,mbkm program menteri dalam kkn wirausaha dan lain
netral,intinya program mbkm tuh berkasnya harus sesuai salah dikit aja gugur ntar kalau msib jangan lupa bikin cv formatnya ats friendly,inti program mbkm berkas sesuai salah dikit gugur sebentar msib lupa bikin cv format friendly
netral,ikut mbkm 3 kali bisa gasi,mbkm kali gas
positif,mendikbudristek apresiasi komitmen uny implementasikan program kampus merdeka  ,mendikbudristek apresiasi komitmen uny implementasi program kampus merdeka
positif,bersyukur banget batch 4 kemarin ketolak jalur kampus merdeka dan keterima jalur mandiri di bangkit alhasil masih punya jatah dua kali buat ikut kampus merdeka  emang ga ada yang kebetulan keknya ya ,syukur banget batch kemarin tolak jalur kampus merdeka terima jalur mandiri bangkit alhasil jatah kali kampus merdeka kaya iya
positif,dionpouw iya weh agak nyesel kenapa ga join pas kuota kampus merdeka masih bisa ,dionpouw iya weh nyesel join pas kuota kampus merdeka
positif,nadim nggak beres gmn kampus merdeka sama kurrikulum merdekanya bagus kok,nadim beres bagamana kampus merdeka kurrikulum merdeka bagus
positif,dengan suka cita kami ucapkan selamat kepada para mahasiswa fib ui yang lolos program kampus merdeka indonesian international student mobility awards iisma 2023,suka cita ucap selamat mahasiswa fib universitas indonesia lolos program kampus merdeka indonesian international student mobility awards iisma
positif,wow ga kerasa tiba2 udh dsuruh ngurus buat magang kampus merdeka aja ya,wow rasa dsuruh urus magang kampus merdeka iya
positif,aku ikut mbkm pas smt 5 doang tp smt 6nya masih ada matkul yg direkognisi kecantumnya di dikti juga kampus merdeka nder ,mbkm pas smt smt matkul rekognisi cantum direktoral jendral didik tinggi kampus merdeka nder
positif,mari bersamasama wujudkan citacita reformasi dari ruang kelas dan selasar kampus kalian masingmasing mulailah bersamasama mewujudkan pribadi yang merdeka yang maju yang peka terhadap sekitar yang bisa memerdekakan diri sendiri dan juga mereka yang tertindas,mari bersamasama wujud citacita reformasi ruang kelas selasar kampus masingmasing bersamasama wujud pribadi merdeka maju peka merdeka tindas
positif,kampus merdeka udh mau selesai aja bakalan kangen sama bocil bocil kematian ,kampus merdeka selesai kangen bocil bocil mati
positif,kampus merdeka sekarang keren ada partisipasi dari dunia usaha dan dunia industrimelalui praktisi mengajar kedaireka yg nyambungin antara yng punya gagasan dan yang punya duit tinggal sdm nya aja di tingkatkan lagi,kampus merdeka keren partisipasi dunia usaha dunia industrimelalui praktisi ajar kedaireka nyambungin gagas uang tinggal sdm nya tingkat
positif,lho mas nadiem ga beres justru gua setuju dia meratakan pendidikan 12 thn lho sampe sma dan ngasi program belajar merdeka dan kampus merdeka ,lho mas nadiem beres tuju rata didik lho ngasi program ajar merdeka kampus merdeka
positif,nadim nggak beres gmn kampus merdeka sama kurrikulum merdekanya bagus kok,nadim beres bagamana kampus merdeka kurrikulum merdeka bagus
positif,iya lagi ambil kampus merdeka jadi gabanyak tugas kak ni sampek srkarang device kakak aja belom ku apus wkwk,iya ambil kampus merdeka gabanyak tugas kak sampek srkarang device kakak ku apus tertawa
positif,sekarang sih lebih ke kampus merdeka biasanya yg ikutan program kampus merdeka bisa lebih cepat kerja,sih kah kampus merdeka ikut program kampus merdeka cepat kerja
positif,btw adikku sekarang lagi ikutan program kampus merdeka semoga adikku dan timnya bisa jadi good intern,ngomong-ngomong adik ikut program kampus merdeka moga adik tim bagus intern
positif,sekarang akses buat kampus merdeka  iisma ga sulit lagiii menarikkk,akses kampus merdeka iisma sulit lagi menarikk
positif,pmm itu pertukaran mahasiswa merdeka program dari kampus merdeka semua bisa ikut ga harus yg dapet beasiswa aja nder,pmm tukar mahasiswa merdeka program kampus merdeka beasiswa nder
positif,program msib yang diusung pemerintah ini sangat bermanfaat bagi mahasiswa ,program msib usung perintah manfaat mahasiswa
positif,agak fomo dikit mau tedx kampus merdeka,fomo dikit tedx kampus merdeka
positif,sebenernya kita tuh lagi ikut volunteer kepanitian kampus merdeka aja ,sebenernya volunteer kepanitian kampus merdeka
positif,ikut kampus merdeka saja,kampus merdeka
positif,semoga lolos kampus merdeka ,moga lolos kampus merdeka
positif,mahasiswa itb nobel indonesia bagikan pengalaman menjalani program kampus merdeka ,mahasiswa itb nobel indonesia bagi alam jalan program kampus merdeka
positif,guys worth it ikut kampus mengajar atau magang merdeka ya,teman worth it kampus ajar magang merdeka iya
positif,ikut magang kampus merdeka aja nder inka mitra msib setahuku,magang kampus merdeka nder inka mitra msib tahu
positif,magang juga tapi program kampus merdeka bukan matkul kampus,magang program kampus merdeka matkul kampus
positif,alhamdulillah kampus merdeka,alhamdulillah kampus merdeka
positif,ikut kampus merdeka biar gak ikut kkn,kampus merdeka biar kkn
positif,sampe akhirnya gue ngambil program kampus merdeka untuk konversi awalnya gue jg yg kek enak ya bisa magang secircle di mitra yg udh kerjasama sm fakultas skripsi jg dpt jalan pintas tp ternyata sendiri ga semenyedihkan itu gue banyak ketemu org baru yg baik baik,ambil program kampus merdeka konversi enak iya magang secircle mitra kerjasama fakultas skripsi jalan pintas sedih ketemu orang
positif,dulu kampus ak ga ngadain semenjak kampus merdeka jd ada,kampus ngadain semenjak kampus merdeka
