Sentimen;Text
Negatif;"cm aku sekarang semester 4 terus mau daftar akun kampus merdeka tapi kok disini tertulis semester masuk ganjil 2022 ya dia otomatis gitu apa temen temen ada yg tau ini kenapa terima kasihhh "
Negatif;cm aku sender  krn byk yg nnya aku gaikut krn wkt itu mbkm dn gbs ambil matkul tsb jd ak bljr mandirii metopen gt 
Positif;cm besok sender dah semester 7 baiknya udah fokus ke tugas akhir skripsi apa tetep coba ikut kampus merdeka ya rencana mau ikut magang atau gak studi independen Soalnya pengen cepet lulus juga takutnya keteteran gak bisa ngejar waktu lulus 8 smt Saran dong
Positif;cm buat kakakkakak yang udah pernah Studi Independen MSIB MBKM minta review nya donggg 
Positif;cm buat magang kampus merdeka semester depan udah ada yg open recruitment ga ya Pls sender takut ketinggalan lagi 
Negatif;"cm cw  msib  magang  mbkm sorry banget kalo menfessnya panjang sender jg udah berusaha konsul sm dosen wali cuma beliau lagi sakit jd belom dikasi keputusan sama koordinator mbkm di kampus sender jg jawabannya nunggu info lebih lanjut terus "
Negatif;cm di sini ada yang daftar mbkm kampus mengajar tapi domisilinya di luar jakarta ga mau tanyatanya
Positif;cm gaess aku kan mau daftar magang merdeka tp disuruh isi ini berkas ini minta ke kampus ato kesiapa ya 
Positif;cm gaess aku kan sebelumnya udh magang desain grafis tp mau daftar mbkm posisi uiux designer kira2 ada posisi ini gk ya
Negatif;cm guys ada yg masih punya file laporan akhir magang kampus merdeka aku mau lihat sebagai referensi aja soalnya udah nyari di google yg sesuai template kampus merdeka cuman dikit banget makasihh ya 
Negatif;cm guys disini ada yang datanya gaada di pddikti tapi tetep bisa mbkm gak ya aku panik banget data aku gaada di pddikti atau mungkin ada yang pernah ngalamin hal serupa terus diatasinnya kayak gimana mohon infonya guys
Negatif;cm guys mau nanya semester 4 bisa ikut program kampus mengajar dari kampus merdeka ngga ya soalnya kaprodiku cuman ngarahin angkatan 2020 buat ikut program itu
Positif;cm guys mau nanya semester 4 bisa ikut program msib kampus merdeka ngga ya terutama yang studi independen soalnya kaprodiku cuman ngarahin angkatan 2020 buat ikut program itu
Negatif;cm guys pls ada yg bisa tutorin daftar magang kampus merdeka ngga Aku mau upload sptjm dan surat rekomendasi tapi stuck dipemeriksaan dokumen nya gabisa lanjut 
Positif;Cm guys sender mau coba lagi magang merdeka terus ini sr sama sptjmnya harus minta yang baru ke kampus lagi apa yang kemarin buat angkatan 4 juga bisa 
Negatif;cm halo aku mau tanya disini ada ngga yang data diri nya ngga muncul waktu dicari di pddikti tapi waktu buat daftar program kampus merdeka data kalian muncul setelah masukin NIMNPM sama nama kampus kalian Kalau ada kenapa ya bisa kayak gitu padahal udah semester 4 cont
Positif;cm Haloo guyss mau minta tolong sebentar boleh Jadi saat ini sender lagi ikut studi independen kampus merdeka dan sedang mengerjakan sebuah project untuk menciptakan sebuah aplikasi yang dapat mendeteksi adanya bahaya dan kejahatan di jalan Bagi temanteman yang cont
Negatif;cm haloo mau nanyaa untuk yang ikutpernah ikut pmm matkul yang ditawarkan di web pmm sama web mbkm kampus penerima emang bisa beda gitu ya Soalnya matkul yang mau aku ambil di PT Penerima gaada gitu padahal di web pmm ada itu kirakira bisa di komplain ngga ya
Positif;cm ikutan program kampus merdeka yg worth it apa ya soalnya aku anak pendidikan
Negatif;cm is it just me or lowongan mbkm batch ini lebih dikit dari batchbatch sebelumnya
Negatif;cm iseng cek nama sendiri di dikti padahal aku ga pernah ikut kampus merdeka tapi di semester 6 statusnya kampus merdeka ada yg sama ga 
Positif;cm kalian waktu magang kampus merdeka sambil megang kepanitiaan gitu ngga kira2 bisa ngga kepegang semisal ikut dua2nya tolong sarannya dong makasih
Negatif;cm kalian yg daftar program kampus merdeka bisa ga verifikasi rekening bank Sender kok gabisa diverifikasi trs ya padahal udh bener noreknya ada yg tau solusinya 
Positif;cm kalo daftar dua magang kampus merdeka sama kampus mengajar boleh kah dan kalo diterima dua duanya gimana ya
Positif;cm kalo magang mbkm ditempatin di luar pulau itu nanti transportasinya biaya sendiri atau ditanggung instansi ya makasi sebelumnya
Negatif;cm kalo misal kita ikut mbkm itu kita harus siap ditempatin dimana aja ya
Negatif;cm kampusku tdk mendukung program kampus merdeka alhasil kl ikut malah mundur setahun masa pendidikannya 
Positif;Cm mau tanya dong aku mau daftar mbkm berkas berkasnya Itu diprint dulu baru di scan apa di scan aja langsung pdf ya
Positif;cm mau tanya kalo join mbkm tuh apa ada syarat harus punya pengalaman organisasivolunteer gitu ya
Positif;cm mbkm bisa dua kali gak misal tahun ini magang tahun depan iisma
Positif;CM Misal sender semester 8 mau ikut kampus merdeka terus di pertengahan program lulus itu boleh ngga sih Jujur aku pengen ikut tapi udah tinggal sidang aja  tapi kan pas daftar statusnya masih mahasiswa aktif kan 
Negatif;cm misi mau nanya buat yang udah daftar akun kampus merdeka dapet activation emailnya berapa lama yaa aku coba daftar belum dapet soalnya udah coba minta kirim lagi tapi tetep belum masuk makasi semuanya
Negatif;CM msibmagang kampus merdeka tuh gabisa ya buat smt 7 yg sksnya tinggal skripsian doang sks ga sampe 20 karena di persyaratan ga disebutin atau aku yg kurang teliti cuma disebutin bakal dapet konversi aja
Negatif;Cm Ngga ikur mbkmmsibprogram kampus merdeka gapapa kan ya Sender takut fomo tementemen pada daftar padahal keadaan keluarga sender lagi kurang memungkinkan buat sender tinggal magang jauh karena perusahaan yang avail convert sks penempatannya di luar pulau 
Negatif;cm penerima kipk boleh ikut program magang mbkm gasih tapi ini programnya ke jepang mau daftar takut nanti malah gaboleh ternyata
Negatif;cm penerima kipk boleh ikut program magang mbkm tapi ke jepang mau daftar takut nanti malah gaboleh ternyata
Positif;Cm pengumuman pkm thun ini lama bener yeegue kan ada inceran mbkm juga tpi ketahan pkm
Positif;"cm Sender lg ada di 2 posisi yg susah milihnya Sender punya kesempatan 35 tahun dan sender jg punya kesempatan MBKM sekali lg td nya mau dipake ambil MSIB  Mending kejar 35 atau MSIB"
Positif;Cm sender mau nanya dong buat yg kuliah di instansi kesehatan Kira2 ada ga ya magang semacam kampus merdeka gitu utk anak kesehatan Sender ngiri liat temen ikut magang jadi pengen nyoba jg Btw tia ya
Negatif;cm sender mo nanya program magang kampus merdeka itu kalo sender masih sem 4 dan bentar lagi udah sem 5 bisa ga sih daftar Soalnya di keterangan minimal sem 5 semua
Positif;cm Share pengalaman kalian dong sisi positif dan negatif ikut MBKM MSIB P3K dan Kamjar Sender mau ikut buat semester depan tapi bingung mau ambil apa  Tia
Positif;cm Sharing pengalaman MBKM Penelitian dong gesss Aku baru keterima nii
Positif;cm teman2 ada yang pernah ikut program magang kampus merdeka gak Boleh tolong reply mau nanya2 Soalnya aku pengen ikut TPI masih ragu gitu makasih guys
Positif;cm Tips biar lolos  magang kampus merdeka kak 
Negatif;Cm verifikasi rekening di kampus merdeka kok lama banget ya dari tanggal 9 April sampe sekarang gada notif kalo kayak gini gimanaaa
Positif;codingfess kalo masih kuliah coba cek kampus merdeka
Negatif;"collegemenfess 1 mabok bikin desain ui ux karena ikut mbkm salah satu mitra. 2 agak ga paham tapi dipaham pahamin pake flutter. 3 mencoba memahami gimana cara baca simbol diagram UML. 4 memandangi gedung baru di kampus berharap prodiku pindah situ  "
Negatif;"collegemenfess 5 Personal project buat tp ga beres 6 Magang mau ikut kampus merdeka kampus ga support berakhir cuman sebagai KPPKL"
Negatif;collegemenfess ada yang tau rekomendasi perusahaan yang open nagang di surabaya kok cek di web kampus merdeka cuma ada lokasi jakarta ya hmmm
Positif;collegemenfess adalah benar dia emg hobi nyuru isi servei tapi ini aku konteksnya survei mbkm si cuma bener itu nomornya dikti bukan penipuan 
Positif;"collegemenfess Aku ada info lowongan magang kampus merdeka yg banyak posisi anak pendidikan nya nih nder dm yaa"
